district,address,longitude,latitude,total_price,unit_price,
信義區,臺北市信義區信義路六段121號,121.578289,25.036361,25000,974,
內湖區,臺北市內湖區安康路391號,121.616046,25.068269,24000,405,
內湖區,臺北市內湖區星雲街15巷31號,121.59004,25.078981,37000,327,
萬華區,臺北市萬華區莒光路211號,121.501544,25.031075,40000,281,
大安區,臺北市大安區和平東路二段1號,121.534872,25.025997,140000,875,
松山區,臺北市松山區南京東路路三段303巷1號,121.522563,25.052208,100000,1269,
內湖區,臺北市內湖區成功路四段41巷1號,121.591707,25.08125,20000,313,
信義區,臺北市信義區永吉路451號,121.578587,25.045601,40000,196,
中正區,臺北市中正區羅斯福路二段151號,121.520401,25.029797,150000,1625,
大安區,臺北市大安區安和路二段151號,121.550468,25.028566,107844,774,
大安區,臺北市大安區羅斯福路三段121號,121.52682,25.022147,92000,565,
松山區,臺北市松山區八德路四段661號,121.575652,25.050205,98000,966,
松山區,臺北市松山區南京東路三段338巷1號,121.547618,25.051297,70000,768,
中山區,臺北市中山區長春路121號,121.529842,25.055005,44000,961,
大安區,臺北市大安區忠孝東路四段61號,121.545933,25.041785,130000,1542,
內湖區,臺北市內湖區港墘路127巷1號,121.576198,25.077919,65000,655,
萬華區,臺北市萬華區西園路一段91號,121.499885,25.038875,36327,628,
中山區,臺北市中山區長春路361號,121.54566,25.054658,65000,846,
大安區,臺北市大安區復興南路二段181號,121.543682,25.026848,100000,1277,
中正區,臺北市中正區忠孝東路二段134巷1號,121.531705,25.041636,140000,963,
中正區,臺北市中正區忠孝西路一段61號,121.514246,25.047011,30000,1311,
大安區,臺北市大安區安和路一段61號,121.551661,25.037445,140000,1655,
信義區,臺北市信義區忠孝東路五段481號,121.577507,25.041016,85000,465,
松山區,臺北市松山區東興路1號,121.565496,25.050632,90000,380,
大安區,臺北市大安區忠孝東路四段170巷18弄1號,121.55061,25.040062,96492,852,
中山區,臺北市中山區長春路61巷1號,121.526435,25.05525,39000,476,
大安區,臺北市大安區羅斯福路三段241號,121.529925,25.019463,75000,1257,
信義區,臺北市信義區崇德街31號,121.553809,25.024369,50000,225,
大安區,臺北市大安區忠孝東路四段301號,121.55542,25.04159,220000,1976,
內湖區,臺北市內湖區民權東路六段123巷34弄1號,121.592814,25.070524,35000,487,
中正區,臺北市中正區羅斯福路二段121號,121.524729,25.024348,55000,754,
信義區,臺北市信義區忠孝東路五段481號,121.577507,25.041016,102168,573,
內湖區,臺北市內湖區成功路四段30巷28弄1號,121.591916,25.082774,34000,477,
中山區,臺北市中山區德惠街1號,121.522898,25.066872,68000,568,
松山區,臺北市松山區南京東路五段271號,121.565525,25.051584,60166,637,
大安區,臺北市大安區延吉街131巷1號,121.554609,25.042761,47000,540,
中正區,臺北市中正區羅斯福路二段1號,121.520786,25.029634,115000,642,
松山區,臺北市松山區南京東路四段91號,121.554067,25.051821,120000,1239,
松山區,臺北市松山區民生東路五段69巷1弄31號,121.557244,25.058982,200000,457,
大安區,臺北市大安區敦化南路一段236巷1號,121.485925,24.997123,210000,985,
內湖區,臺北市內湖區文德路151號,121.584611,25.078751,60000,322,
中山區,臺北市中山區林森北路259巷1號,121.52636,25.05407,5000,360,
萬華區,臺北市萬華區西園路二段181號,121.494994,25.027819,52000,362,
信義區,臺北市信義區基隆路二段61號,121.558461,25.03079,80000,874,
松山區,臺北市松山區八德路四段245巷32弄31號,121.56362,25.049851,50000,327,
中山區,臺北市中山區民權東路二段92巷1弄1號,121.531786,25.061647,33000,837,
中山區,臺北市中山區新生北路一段61號,121.529247,25.049173,68000,455,
信義區,臺北市信義區忠孝東路五段481號,121.577507,25.041016,124872,684,
中山區,臺北市中山區復興北路421號,121.544457,25.063249,361226,1048,
中山區,臺北市中山區中山北路三段1號,121.522601,25.063948,50000,601,
中山區,臺北市中山區吉林路119巷1號,121.530402,25.056895,35000,276,
中山區,臺北市中山區林森北路91號,121.524934,25.049976,85000,387,
中山區,臺北市中山區明水路672巷1號,121.551087,25.083873,78000,518,
中正區,臺北市中正區重慶南路一段61號,121.513325,25.044554,780000,854,
大安區,臺北市大安區大安路一段61號,121.546262,25.042786,474617,1352,
中山區,臺北市中山區長安東路一段53巷1號,121.526632,25.048952,42000,1481,
中山區,臺北市中山區明水路571號,121.551502,25.079899,125000,681,
中山區,臺北市中山區樂群二路91號,121.554611,25.080226,336000,947,
